<img src="27D51.png"><br>𧵑	của<br>of; to belong to; properties, belongings
<img src="5427.png"><br>吧	và<br>and, also
<img src="2A700.png"><br>𪜀	là<br>to be (also 羅)
<img src="20B20.png"><br>𠬠	một<br>one
<img src="56FA.png"><br>固	có<br>there is; to have; sure, of course (also 𣎏)
<img src="4ECD.png"><br>仍	những<br>(plural marker); some; as many as
<img src="2029B.png"><br>𠊛	người<br>people; person; human
<img src="2029A.png"><br>𠊚	ngài<br>gentleman; Mr.
<img src="25A9D.png"><br>𥪝	trong<br>in; within
<img src="7279.png"><br>特	được<br>to get; to obtain; to be able to
<img src="7A7A.png"><br>空	không<br>no; not; without; (closed-question marker)
<img src="340C.png"><br>㐌	đã<br>already
<img src="201CD.png"><br>𠇍	mấy<br>(quite) a few, some; how many
<img src="5504.png"><br>唄	với<br>(together) with
<img src="6731.png"><br>朱	cho<br>to give; so that
<img src="5404.png"><br>各	các<br>each; every; all
<img src="788E.png"><br>碎	tôi<br>I, my, me
<img src="65BC.png"><br>於	ở<br>to be (somewhere); at; to live
<img src="7FC1.png"><br>翁	ông<br>man; Mr.
<img src="275F1.png"><br>𧗱	về<br>to return; about; (back) to
<img src="5E95.png"><br>底	để<br>to place; to set; to leave; to keep
<img src="62F1.png"><br>拱	cũng<br>also; too
<img src="2693E.png"><br>𦤾	đến<br>to arrive, to come
<img src="65E6.png"><br>旦	đán<br>【day, dawn, morning】*
<img src="5462.png"><br>呢	này<br>this; here
<img src="204E8.png"><br>𠓨	vào<br>in; into
<img src="215C9.png"><br>𡗉	nhiều<br>many; much; a lot of
<img src="5040.png"><br>偀	anh<br>elder brother
<img src="59AC.png"><br>妬	đó<br>there; that
<img src="5982.png"><br>如	như<br>as; like; alike; similar to
<img src="81EA.png"><br>自	tự<br>self
<img src="6B3A.png"><br>欺	khi<br>when, while; case, circumstance
<img src="2856D.png"><br>𨕭	trên<br>above; at the top
<img src="2B968.png"><br>𫥨	ra<br>to get out
<img src="264E1.png"><br>𦓡	mà<br>but
<img src="6C9B.png"><br>沛	phải<br>right; to have to; must; should
<img src="540F.png"><br>吏	lại<br>also; to come; again, re-...
<img src="7FA4.png"><br>群	còn<br>still; remaining; besides, also
<img src="20C4A.png"><br>𠱊	sẽ<br>to be going to; will; shall
<img src="3598.png"><br>㖘	thì<br>so, then; certainly
<img src="6642.png"><br>時	thì<br>【time; era, period】*
<img src="221A5.png"><br>𢆥	năm<br>year
<img src="722B.png"><br>爫	làm<br>to do; to make
<img src="8339.png"><br>茹	nhà<br>house; home; building
<img src="2825F.png"><br>𨉟	mình<br>we; us
<img src="20AFE.png"><br>𠫾	đi<br>to go, to walk; come on!
<img src="21975.png"><br>𡥵	con<br>child
<img src="5728.png"><br>在	tại<br>at, in; because, because of
<img src="20129.png"><br>𠄩	hai<br>two
<img src="88AB.png"><br>被	bị<br>to befall; (passive preposition)
<img src="5099.png"><br>備	bị<br>【to prepare】*
<img src="5F79.png"><br>役	việc<br>job; work; business
<img src="53EA.png"><br>只	chỉ<br>only; merely
<img src="4E8B.png"><br>事	sự<br>matter, business; occurrence, event
<img src="9076.png"><br>遶	theo<br>to follow; according to
<img src="4E10.png"><br>丐	cái<br>a; the; (numeral)
<img src="7232.png"><br>爲	vì<br>because; as; for
<img src="6B23.png"><br>欣	hơn<br>more than; better than
<img src="5450.png"><br>呐	nói<br>to speak; to say; to talk
<img src="59D1.png"><br>姑	cô<br>Ms., young woman; father's sister; husband's mother
<img src="2321C.png"><br>𣈜	ngày<br>day
<img src="3D4B.png"><br>㵋	mới<br>new; fresh
<img src="285B2.png"><br>𨖲	lên<br> to rise; to ascend; to go up
<img src="6144.png"><br>慄	rất<br>very; quite
<img src="6236.png"><br>戶	họ<br>they
<img src="5A46.png"><br>婆	bà<br>woman; Mrs.
<img src="5C40.png"><br>局	cuộc<br>match, game; 【circumstances】*
<img src="518C.png"><br>册	sách<br>book
<img src="9285.png"><br>銅	đồng<br>copper; brass; bronze; coin, money
<img src="540C.png"><br>同	đồng<br>same; similar; Dong (Vietnamese currency unit)
<img src="578C.png"><br>垌	đồng<br>field; countryside, country; rural
<img src="21890.png"><br>𡢐	sau<br>after; following
<img src="7576.png"><br>當	đang<br>currently; just; now
<img src="548D.png"><br>咍	hay<br>or; good; well
<img src="24BE9.png"><br>𤯩	sống<br>to live; alive; raw
<img src="5E74.png"><br>年	niên<br>【year】*
<img src="229DA.png"><br>𢧚	nên<br>to ought to, shall; to become
<img src="522B.png"><br>别	biết<br>to know
<img src="2784A.png"><br>𧡊	thấy<br>to see; to feel
<img src="8012.png"><br>耒	rồi<br>already; then; after
<img src="8AA0.png"><br>誠	thành<br>sincere; honest
<img src="57CE.png"><br>城	thành<br>citadel; city
<img src="6210.png"><br>成	thành<br>to become; to change into
<img src="543B.png"><br>吻	vẫn<br>still, yet
<img src="606A.png"><br>恪	khác<br>other; another; further
<img src="2013C.png"><br>𠄼	năm<br>five
<img src="6E03.png"><br>渃	nước<br>water; country; nation
<img src="4F2E.png"><br>伮	nó<br>he, she, it (colloquial)
<img src="7D30.png"><br>細	tới<br>to arrive, to come
<img src="6208.png"><br>戈	qua<br>to cross; to pass
<img src="54FF.png"><br>哿	cả<br>all; in total; completely
<img src="5171.png"><br>共	cộng<br>to add (up); addition
<img src="4E4B.png"><br>之	gì<br>what
<img src="4F4E.png"><br>低	đây<br>here; this
<img src="6570.png"><br>数	số<br>number; fate
<img src="6B72.png"><br>歲	tuổi<br>age; year of age
<img src="6B21.png"><br>次	thứ<br>order, rank; sort, type, category; next, subsequent
<img src="65D7.png"><br>旗	cờ<br>flag, banner
<img src="671F.png"><br>期	kỳ<br>【period, time, age】*
<img src="5947.png"><br>奇	kỳ<br>strange; unusual
<img src="573B.png"><br>圻	kỳ<br>【border, boundary】*
<img src="36EA.png"><br>㛪	em<br>younger sibling
<img src="4E00.png"><br>一	nhất<br>first; most (adverb for superlatives)
<img src="204C0.png"><br>𠓀	trước<br>before; ahead (of)
<img src="4F34.png"><br>伴	bạn<br>friend; fellow; comrade
<img src="610F.png"><br>意	ý<br>idea, opinion, thought; Italy; italian
<img src="5F71.png"><br>影	ảnh<br>image, photo
<img src="51ED.png"><br>凭	bằng<br>with, by means of, using; diploma, certificate; evidence, proof
<img src="5E73.png"><br>平	bình<br>equal, 【flat, even, level; peaceful】*
<img src="670B.png"><br>朋	bằng<br>【friend, comrade, pal】*
<img src="8287.png"><br>芇	nào<br>which; any
<img src="982D.png"><br>頭	đầu<br>head; top (of a multitude)
<img src="6295.png"><br>投	đầu<br>【to throw, to fling, to send】*
<img src="962E.png"><br>阮	nguyễn<br>(surname Nguyen)
<img src="54F4.png"><br>哴	rằng<br>that; so that
<img src="9769.png"><br>革	cách<br>【reform; revolution】*
<img src="683C.png"><br>格	cách<br>way; method; manner
<img src="66F0.png"><br>曰	viết<br>to write, to record; pen
<img src="5C0B.png"><br>尋	tìm<br>to search, to look for
<img src="23176.png"><br>𣅶	lúc<br>moment, time
<img src="674E.png"><br>李	lý<br>(surname)
<img src="7406.png"><br>理	lý<br>logic; reason
<img src="6B63.png"><br>正	chính<br>main
<img src="653F.png"><br>政	chính<br>government; political affairs
<img src="27607.png"><br>𧘇	ấy<br>that
<img src="23383.png"><br>𣎃	tháng<br>month
<img src="6703.png"><br>會	hội<br>to meet; meeting
<img src="61A2.png"><br>憢	nhau<br>one another, each another, together
<img src="235D3.png"><br>𣗓	chưa<br>not yet; already (used in questions)
<img src="541D.png"><br>吝	lần<br>time, times
<img src="7531.png"><br>由	do<br>reason; cause
<img src="230E3.png"><br>𣃣	vừa<br>suitable, fitting
<img src="3996.png"><br>㦖	muốn<br>to desire, to want, to wish
<img src="6587.png"><br>文	văn<br>literature; culture
<img src="5DE5.png"><br>工	công<br>work; labour
<img src="6372.png"><br>捲	cuốn<br>to roll up, to curl up, to convolve
<img src="5377.png"><br>卷	quyển<br>book, volume (publishing)
<img src="8ABF.png"><br>調	đều<br>even; equally
<img src="689D.png"><br>條	điều<br>occurrence; condition; terms
<img src="82B1.png"><br>花	hoa<br>flower
<img src="83EF.png"><br>華	hoa<br>chinese
<img src="2162F.png"><br>𡘯	lớn<br>big; large
<img src="57C3.png"><br>埃	ai<br>who; someone, somebody
<img src="20027.png"><br>𠀧	ba<br>three
<img src="7238.png"><br>爸	ba<br>father
<img src="35C2.png"><br>㗂	tiếng<br>sound; noise; language
<img src="5802.png"><br>堂	đường<br>【house, bureau, palace】*
<img src="5858.png"><br>塘	đường<br>street; road; way; route
<img src="7CD6.png"><br>糖	đường<br>sugar
<img src="4E16.png"><br>世	thế<br>world; era
<img src="66FF.png"><br>替	thế<br>to substitute; to replace
<img src="52E2.png"><br>勢	thế<br>such, so; 【condition, appearance; position, influence, impetus, power】*
<img src="66FE.png"><br>曾	từng<br>【ever; already】*
<img src="2B8A9.png"><br>𫢩	nay<br>this (year or day); now; today
<img src="576D.png"><br>坭	nơi<br>place, location, site
<img src="5F62.png"><br>形	hình<br>appearance, shape; picture, photo
<img src="524D.png"><br>前	tiền<br>front
<img src="9322.png"><br>錢	tiền<br>money, currency
<img src="4E9B.png"><br>些	ta<br>we, us
<img src="5357.png"><br>南	nam<br>south; southern
<img src="8D8A.png"><br>越	việt<br>vietnamese
<img src="4E2D.png"><br>中	trung<br>center; central; Chinese
<img src="20BA9.png"><br>𠮩	nếu<br>if
<img src="25637.png"><br>𥘷	trẻ<br>young; children
<img src="20E1C.png"><br>𠸜	tên<br>name
<img src="253CC.png"><br>𥏌	tên<br>arrow
<img src="5BE6.png"><br>實	thật<br>true, real, actual
<img src="5A84.png"><br>媄	mẹ<br>mother; mom
<img src="52E4.png"><br>勤	cần<br>to need
<img src="2102F.png"><br>𡀯	chuyện<br>matter; talk, story
<img src="6BCF.png"><br>每	mỗi<br>each, every
<img src="8292.png"><br>芒	mang<br>to carry; to wear
<img src="59C9.png"><br>姉	chị<br>sister; young woman
<img src="8ECA.png"><br>車	xe<br>vehicle; car
<img src="79AE.png"><br>禮	lễ<br>holiday; festival; 【manners, courtesy, etiquette】*
<img src="8FFB.png"><br>迻	đưa<br>to give
<img src="251BE.png"><br>𥆾	nhìn<br>to look
<img src="570B.png"><br>國	quốc<br> 【country, nation】*
<img src="6DFB.png"><br>添	thêm<br>to add, to increase; additional
<img src="9AD8.png"><br>高	cao<br>high; tall
<img src="6B65.png"><br>步	bộ<br>【to step, to walk】*
<img src="90E8.png"><br>部	bộ<br>set; part, section, division
<img src="96BB.png"><br>隻	chiếc<br>unit, entity, object; (classifier for vehicles or certain objects)
<img src="247A6.png"><br>𤞦	mọi<br>each, every
<img src="66F8.png"><br>書	thư<br>letter; 【book】*
<img src="5E40.png"><br>幀	tranh<br>picture, painting, scroll
<img src="722D.png"><br>爭	tranh<br>to compete, to fight
<img src="22B23.png"><br>𢬣	tay<br>arm; hand; side
<img src="22759.png"><br>𢝙	vui<br>amusing, funny, merry, joyful, gay
<img src="4FE1.png"><br>信	tin<br>to believe; news, information
<img src="5400.png"><br>吀	xin<br>to beg; to ask for
<img src="6C11.png"><br>民	dân<br>people; citizen
<img src="7701.png"><br>省	tỉnh<br>province
<img src="904E.png"><br>過	quá<br>very; too (much); to exceed, to pass
<img src="54B9.png"><br>咹	ăn<br>to eat
<img src="8981.png"><br>要	yêu<br>【to need, to require, to demand; necessary】*
<img src="22785.png"><br>𢞅	yêu<br>to love
<img src="21A0C.png"><br>𡨌	giữa<br>between, in the middle of, amid
<img src="21795.png"><br>𡞕	vợ<br>wife
<img src="8B80.png"><br>讀	đọc<br>to read
<img src="23A42.png"><br>𣩂	chết<br>death; to die
<img src="9577.png"><br>長	trưởng<br>leader
<img src="5834.png"><br>場	trường<br>school; field; ground
<img src="822A.png"><br>航	hàng<br>【sail; navigate】*
<img src="884C.png"><br>行	hàng<br>line, row; rank, order; goods, wares, merchandise
<img src="25669.png"><br>𥙩	lấy<br>to take
<img src="26591.png"><br>𦖑	nghe<br>to hear
<img src="228B2.png"><br>𢢲	đẹp<br>beautyful
<img src="5B57.png"><br>字	tự<br>character; letter; word
<img src="2089E.png"><br>𠢞	giúp<br>to help, to assist
<img src="21B88.png"><br>𡮈	nhỏ<br>small
<img src="59C5.png"><br>姅	nửa<br>half
<img src="20BC6.png"><br>𠯆	nữa<br>more, further
<img src="5E38.png"><br>常	thường<br>frequent; common, normal, usual
<img src="5B78.png"><br>學	học<br>to learn, to study
<img src="6771.png"><br>東	đông<br>east; eastern
<img src="2014D.png"><br>𠅍	mất<br>to lose; lost; to die, to vanish
<img src="2845C.png"><br>𨑜	xuống<br>to descend; to go down
<img src="5766.png"><br>坦	đất<br>earth; soil; land; ground
<img src="534A.png"><br>半	bán<br>【half, semi-】*
