𧵑	của<br>of; to belong to; properties, belongings
吧	và<br>and, also
𪜀	là<br>to be (also 羅)
𠬠	một<br>one
固	có<br>there is; to have; sure, of course (also 𣎏)
仍	những<br>(plural marker); some; as many as
𠊛	người<br>people; person; human
𠊚	ngài<br>gentleman; Mr.
𥪝	trong<br>in; within
特	được<br>to get; to obtain; to be able to
空	không<br>no; not; without; (closed-question marker)
㐌	đã<br>already
𠇍	mấy<br>(quite) a few, some; how many
唄	với<br>(together) with
朱	cho<br>to give; so that
各	các<br>each; every; all
碎	tôi<br>I, my, me
於	ở<br>to be (somewhere); at; to live
翁	ông<br>man; Mr.
𧗱	về<br>to return; about; (back) to
底	để<br>to place; to set; to leave; to keep
拱	cũng<br>also; too
𦤾	đến<br>to arrive, to come
旦	đán<br>【day, dawn, morning】*
呢	này<br>this; here
𠓨	vào<br>in; into
𡗉	nhiều<br>many; much; a lot of
偀	anh<br>elder brother
妬	đó<br>there; that
如	như<br>as; like; alike; similar to
自	tự<br>self
欺	khi<br>when, while; case, circumstance
𨕭	trên<br>above; at the top
𫥨	ra<br>to get out
𦓡	mà<br>but
沛	phải<br>right; to have to; must; should
吏	lại<br>also; to come; again, re-...
群	còn<br>still; remaining; besides, also
𠱊	sẽ<br>to be going to; will; shall
㖘	thì<br>so, then; certainly
時	thì<br>【time; era, period】*
𢆥	năm<br>year
爫	làm<br>to do; to make
茹	nhà<br>house; home; building
𨉟	mình<br>we; us
𠫾	đi<br>to go, to walk; come on!
𡥵	con<br>child
在	tại<br>at, in; because, because of
𠄩	hai<br>two
被	bị<br>to befall; (passive preposition)
備	bị<br>【to prepare】*
役	việc<br>job; work; business
只	chỉ<br>only; merely
事	sự<br>matter, business; occurrence, event
遶	theo<br>to follow; according to
丐	cái<br>a; the; (numeral)
爲	vì<br>because; as; for
欣	hơn<br>more than; better than
呐	nói<br>to speak; to say; to talk
姑	cô<br>Ms., young woman; father's sister; husband's mother
𣈜	ngày<br>day
㵋	mới<br>new; fresh
𨖲	lên<br> to rise; to ascend; to go up
慄	rất<br>very; quite
戶	họ<br>they
婆	bà<br>woman; Mrs.
局	cuộc<br>match, game; 【circumstances】*
册	sách<br>book
銅	đồng<br>copper; brass; bronze; coin, money
同	đồng<br>same; similar; Dong (Vietnamese currency unit)
垌	đồng<br>field; countryside, country; rural
𡢐	sau<br>after; following
當	đang<br>currently; just; now
咍	hay<br>or; good; well
𤯩	sống<br>to live; alive; raw
年	niên<br>【year】*
𢧚	nên<br>to ought to, shall; to become
别	biết<br>to know
𧡊	thấy<br>to see; to feel
耒	rồi<br>already; then; after
誠	thành<br>sincere; honest
城	thành<br>citadel; city
成	thành<br>to become; to change into
吻	vẫn<br>still, yet
恪	khác<br>other; another; further
𠄼	năm<br>five
渃	nước<br>water; country; nation
伮	nó<br>he, she, it (colloquial)
細	tới<br>to arrive, to come
戈	qua<br>to cross; to pass
哿	cả<br>all; in total; completely
共	cộng<br>to add (up); addition
之	gì<br>what
低	đây<br>here; this
数	số<br>number; fate
歲	tuổi<br>age; year of age
次	thứ<br>order, rank; sort, type, category; next, subsequent
旗	cờ<br>flag, banner
期	kỳ<br>【period, time, age】*
奇	kỳ<br>strange; unusual
圻	kỳ<br>【border, boundary】*
㛪	em<br>younger sibling
一	nhất<br>first; most (adverb for superlatives)
𠓀	trước<br>before; ahead (of)
伴	bạn<br>friend; fellow; comrade
意	ý<br>idea, opinion, thought; Italy; italian
影	ảnh<br>image, photo
凭	bằng<br>with, by means of, using; diploma, certificate; evidence, proof
平	bình<br>equal, 【flat, even, level; peaceful】*
朋	bằng<br>【friend, comrade, pal】*
芇	nào<br>which; any
頭	đầu<br>head; top (of a multitude)
投	đầu<br>【to throw, to fling, to send】*
阮	nguyễn<br>(surname Nguyen)
哴	rằng<br>that; so that
革	cách<br>【reform; revolution】*
格	cách<br>way; method; manner
曰	viết<br>to write, to record; pen
尋	tìm<br>to search, to look for
𣅶	lúc<br>moment, time
李	lý<br>(surname)
理	lý<br>logic; reason
正	chính<br>main
政	chính<br>government; political affairs
𧘇	ấy<br>that
𣎃	tháng<br>month
會	hội<br>to meet; meeting
憢	nhau<br>one another, each another, together
𣗓	chưa<br>not yet; already (used in questions)
